Name, acaua 24
Chord(mm),250
Radius(mm),0
Thickness(%),100
Origin(%),0
Pitch(deg),0
,
Airfoil surface,
X(mm),Y(mm)
248.974400,0.741775
247.366600,1.882325
245.713925,2.984200
243.987775,4.008125
242.140675,4.969475
240.131000,5.892725
237.934200,6.805175
235.542075,7.719950
232.959425,8.643525
230.203100,9.573750
227.299150,10.505125
224.269275,11.431900
221.126550,12.353675
217.894525,13.269450
214.606250,14.172375
211.278100,15.057150
207.908450,15.925550
204.501475,16.779900
201.071950,17.618400
197.631975,18.438100
194.186025,19.237750
190.735450,20.016800
187.281050,20.774775
183.825850,21.511075
180.376200,22.224050
176.936650,22.910925
173.505325,23.570100
170.076350,24.201975
166.643275,24.807425
163.202300,25.387475
159.758250,25.942200
156.319575,26.469650
152.880100,26.968600
149.419050,27.442000
145.930700,27.894625
142.437425,28.326375
138.952025,28.732725
135.448225,29.113825
131.895100,29.477950
128.310025,29.831275
124.739250,30.169100
121.182550,30.485150
117.594350,30.782700
113.959850,31.071275
110.330100,31.352450
106.745575,31.616300
103.173925,31.857450
99.565350,32.082900
95.943350,32.300300
92.384000,32.503125
88.893575,32.678325
85.407325,32.823525
81.908375,32.948125
78.482475,33.053875
75.183650,33.122925
71.953450,33.141475
68.733775,33.115075
65.576025,33.053475
62.549775,32.945125
59.620075,32.771150
56.719525,32.529825
53.839075,32.229325
51.012750,31.873125
48.270375,31.461400
45.609400,30.985350
42.978225,30.428150
40.341900,29.796125
37.757200,29.115775
35.271500,28.382250
32.843050,27.571850
30.430500,26.682700
28.046875,25.728375
25.732600,24.726575
23.518400,23.684525
21.377625,22.576650
19.263800,21.396250
17.231125,20.206000
15.358050,19.030050
13.617050,17.833425
11.974400,16.626700
10.455025,15.455050
9.084275,14.345300
7.866850,13.300100
6.794750,12.310900
5.853700,11.369025
5.027100,10.468450
4.298525,9.609750
3.655925,8.794125
3.090075,8.020850
2.594275,7.287050
2.162975,6.588050
1.788700,5.920825
1.463950,5.284125
1.182175,4.676950
0.937650,4.098125
0.726250,3.546250
0.544775,3.020050
0.389950,2.518100
0.258625,2.038225
0.150075,1.578350
0.065375,1.138575
0.006450,0.719125
-0.024050,0.315175
-0.022650,-0.081800
0.017775,-0.476575
0.106350,-0.868850
0.249750,-1.251375
0.454050,-1.614325
0.718350,-1.952100
1.035625,-2.261575
1.401075,-2.539500
1.813450,-2.782750
2.272025,-2.989200
2.776450,-3.158925
3.327675,-3.296400
3.928275,-3.415350
4.580875,-3.528300
5.291275,-3.638850
6.066650,-3.744500
6.918650,-3.832350
7.865725,-3.896650
8.929775,-3.944425
10.133850,-3.985650
11.496600,-4.030725
13.036625,-4.061225
14.805425,-4.052925
16.865625,-4.021175
19.204250,-3.974700
21.792950,-3.891775
24.654825,-3.769400
27.722250,-3.621050
30.869950,-3.439225
34.095400,-3.209850
37.435425,-2.938725
40.835475,-2.639850
44.229750,-2.311950
47.645000,-1.945300
51.138875,-1.541650
54.713075,-1.112825
58.322525,-0.668375
61.936400,-0.212375
65.549975,0.255100
69.172675,0.736475
72.820800,1.232550
76.497525,1.737600
80.181125,2.244000
83.848575,2.752175
87.501200,3.266825
91.155925,3.786375
94.826425,4.304925
98.516125,4.820450
102.210850,5.333700
105.884100,5.840900
109.527125,6.335725
113.155525,6.816625
116.779050,7.285625
120.384725,7.741375
123.959300,8.178575
127.509225,8.594100
131.045800,8.988050
134.566500,9.359800
138.063575,9.706300
141.543150,10.025025
145.019250,10.316600
148.492625,10.582550
151.951175,10.821425
155.390600,11.030125
158.819025,11.207350
162.243400,11.353575
165.663600,11.468800
169.076150,11.552525
172.477350,11.604050
175.866900,11.622100
179.250475,11.605500
182.632900,11.554750
186.009550,11.470800
189.372225,11.352950
192.720450,11.199550
196.058550,11.009900
199.385375,10.784400
202.694050,10.522950
205.979450,10.224525
209.239800,9.888125
212.473550,9.513050
215.677375,9.099050
218.842900,8.646900
221.955925,8.158075
225.001250,7.633100
227.965525,7.072675
230.831350,6.478625
233.576450,5.854025
236.185375,5.198225
238.653575,4.509900
240.978025,3.789150
243.156875,3.035850
245.196025,2.247625
247.102850,1.425850
248.881425,0.576925
250.000000,0.000000
,
Camber line,
X(mm),Y(mm)
0.006450,0.719125
0.065375,0.225596
0.150075,0.296431
0.258625,0.385542
0.389950,0.508826
0.544775,0.644889
0.726250,0.793222
0.937650,0.966058
1.182175,1.151962
1.463950,1.353768
1.788700,1.576337
2.162975,1.823972
2.594275,2.094711
3.090075,2.391854
3.655925,2.716357
4.298525,3.065159
5.027100,3.435355
5.853700,3.826770
6.794750,4.245663
7.866850,4.701700
9.084275,5.197793
10.455025,5.729388
11.974400,6.293256
13.617050,6.887462
15.358050,7.492821
17.231125,8.096044
19.263800,8.711729
21.377625,9.335785
23.518400,9.933265
25.732600,10.504650
28.046875,11.063038
30.430500,11.609045
32.843050,12.136470
35.271500,12.633935
37.757200,13.102668
40.341900,13.556444
42.978225,13.997649
45.609400,14.410757
48.270375,14.794175
51.012750,15.158452
53.839075,15.505820
56.719525,15.832032
59.620075,16.133250
62.549775,16.406050
65.576025,16.656018
68.733775,16.896615
71.953450,17.128041
75.183650,17.340023
78.482475,17.532177
81.908375,17.715729
85.407325,17.897663
88.893575,18.071544
92.384000,18.231498
95.943350,18.380641
99.565350,18.524551
103.173925,18.662065
106.745575,18.787106
110.330100,18.897300
113.959850,18.996003
117.594350,19.085689
121.182550,19.162053
124.739250,19.219485
128.310025,19.257289
131.895100,19.277839
135.448225,19.280494
138.952025,19.260203
142.437425,19.213206
145.930700,19.140507
149.419050,19.044268
152.880100,18.923196
156.319575,18.773898
159.758250,18.594828
163.202300,18.386677
166.643275,18.150130
170.076350,17.884826
173.505325,17.589812
176.936650,17.263888
180.376200,16.906330
183.825850,16.518083
187.281050,16.100507
190.735450,15.653647
194.186025,15.177018
197.631975,14.670675
201.071950,14.134764
204.501475,13.569337
207.908450,12.975521
211.278100,12.354429
214.606250,11.704918
217.894525,11.025906
221.126550,10.320992
224.269275,9.595592
227.299150,8.851892
230.203100,8.091302
232.959425,7.318972
235.542075,6.539940
237.934200,5.757846
240.131000,4.972257
242.140675,4.178329
243.987775,3.361397
245.713925,2.504314
247.366600,1.591143
248.974400,0.635373
,
Chord line,
X(mm),Y(mm)
0.000000,0.000000
250.000000,0.000000
